Tree.ID,Date.Surveyed,Block,Plot,Irrigation,Plot.Composition,Resource.Dilution,Richness,PA.Birch,MeanChewerTree,MeanDefolTree,SumMinersTree,MeanMildewTree,MeanPShootLength,MeanLShootLength,H.2018
56_27,3.7.18,2,17,Y,QrQiBp,0.66,3,Y,5.526315789,6,9,6.175,110.5,143.375,164
52_25,3.7.18,2,17,Y,QrQiBp,0.66,3,Y,9,9.210526316,7,0.371428571,34.75,101.375,265
44_35,3.7.18,2,26,Y,QrQpQiBp,0.75,4,Y,11.71794872,14.28205128,3,0,21.5,NA,270
42_38,3.7.18,2,26,Y,QrQpQiBp,0.75,4,Y,11.75,12.75,8,1.3,59.375,84.75,247
42_36,3.7.18,2,26,Y,QrQpQiBp,0.75,4,Y,6.717948718,7.358974359,4,4.457142857,92.5,131.8571429,176
43_39,3.7.18,2,26,Y,QrQpQiBp,0.75,4,Y,12.72222222,13.69444444,3,0.975,42.375,52.25,245
44_5,3.7.18,2,2,Y,Qr,0,1,N,34.81578947,35.47368421,5,3.575,29.625,18.375,158
43_5,3.7.18,2,2,Y,Qr,0,1,N,17.025,17.55,10,1.95,96.25,71.5,228
44_7,3.7.18,2,2,Y,Qr,0,1,N,9.875,10.4,17,9.675,58.875,95,142
48_6,3.7.18,2,2,Y,Qr,0,1,N,3.325,3.775,11,1.95,17.625,29.25,150
46_15,3.7.18,2,6,Y,QrBp,0.5,2,Y,4.179487179,4.974358974,8,5.2,17.25,30.75,194
43_12,3.7.18,2,6,Y,QrBp,0.5,2,Y,20.09677419,20.09677419,7,11.375,30,115.625,179
43_14,3.7.18,2,6,Y,QrBp,0.5,2,Y,12.625,12.625,2,1.95,51.125,72,169
44_15,3.7.18,2,6,Y,QrBp,0.5,2,Y,12.78947368,12.78947368,3,10.47368421,44.875,30.25,145
72_14,3.7.18,2,10,Y,QrQp,0.5,2,N,8.435897436,8.435897436,15,9.725,100.75,136.5,290
73_15,3.7.18,2,10,Y,QrQp,0.5,2,N,10.75,11.25,15,6.075,51.75,90.125,216
72_18,3.7.18,2,10,Y,QrQp,0.5,2,N,6.375,8.2,12,2.275,47.5,85.5,193
73_13,5.7.18,2,10,Y,QrQp,0.5,2,N,5.775,8,11,9.025,68.5,123.25,220
56_48,5.7.18,2,22,Y,QrQpQi,0.66,3,N,17.19354839,17.19354839,0,2.275,28.375,69,158
57_44,5.7.18,2,22,Y,QrQpQi,0.66,3,N,3.810810811,4.081081081,6,8.125,12.625,60.875,152
53_48,5.7.18,2,22,Y,QrQpQi,0.66,3,N,8.205128205,8.282051282,2,4.55,36.5,46,181
55_49,5.7.18,2,22,Y,QrQpQi,0.66,3,N,17.56410256,20.51282051,9,8.323529412,45.75,44.75,127
63_64,5.7.18,2,16,Y,QrQpBp,0.66,3,Y,13.66666667,14.93333333,12,5.032258065,21.25,64.57142857,110
63_67,5.7.18,2,16,Y,QrQpBp,0.66,3,Y,10.61111111,11.61111111,9,23.15789474,30.875,86.5,161
64_63,5.7.18,2,16,Y,QrQpBp,0.66,3,Y,18.21212121,18.36363636,3,84.62162162,18,20,166
69_67,5.7.18,2,16,Y,QrQpBp,0.66,3,Y,8.55,8.8,5,4.333333333,45.75,72,277
63_77,5.7.18,2,11,Y,QrQi,0.5,2,N,6.675,6.875,4,2.052631579,29.75,36.875,260
62_76,5.7.18,2,11,Y,QrQi,0.5,2,N,19.02631579,19.02631579,4,17.54054054,25.875,68.875,216
66_74,5.7.18,2,11,Y,QrQi,0.5,2,N,2.85,3.95,7,1.405405405,18.125,18.25,182
63_75,5.7.18,2,11,Y,QrQi,0.5,2,N,1.315789474,1.394736842,3,7.243243243,16,23.5,134
84_46,4.7.18,3,2,N,Qr,0,1,N,17.625,19.875,22,5.641025641,51.625,75.875,239
84_44,4.7.18,3,2,N,Qr,0,1,N,18,19.76470588,18,6.1,36.5,64,132
86_47,4.7.18,3,2,N,Qr,0,1,N,20.975,21.425,2,8.225,40.5,99.625,205
86_44,4.7.18,3,2,N,Qr,0,1,N,23.0625,25.09375,2,57.71052632,7.875,27.625,118
102_15,4.7.18,3,6,N,QrBp,0.5,2,Y,19.54054054,19.67567568,1,14.15,33.375,147.5,310
105_16,4.7.18,3,6,N,QrBp,0.5,2,Y,9.05,9.3,14,4.2,60.75,100.375,189
104_13,4.7.18,3,6,N,QrBp,0.5,2,Y,7.55,7.675,12,40.425,97.5,149.5,228
103_16,4.7.18,3,6,N,QrBp,0.5,2,Y,11.5,12.575,14,6,55.25,185.875,268
93_53,5.7.18,3,10,N,QrQp,0.5,2,N,11.96774194,12.70967742,4,20.375,36.125,66.75,141
93_55,5.7.18,3,10,N,QrQp,0.5,2,N,15.225,16.55,8,33.43589744,58.375,151.75,248
98_58,5.7.18,3,10,N,QrQp,0.5,2,N,4.55,5.2,9,16.69230769,20.375,91.625,153
97_55,5.7.18,3,10,N,QrQp,0.5,2,N,36.05555556,36.33333333,3,22.51351351,76.75,102.875,140
87_63,5.7.18,3,11,N,QrQi,0.5,2,N,20.46875,22.03125,3,52.10344828,11.375,28.25,122
86_68,5.7.18,3,11,N,QrQi,0.5,2,N,17.77777778,18.86111111,15,66.84615385,19.25,35,100
85_63,5.7.18,3,11,N,QrQi,0.5,2,N,14.75,17.03125,5,59.96666667,15.125,35.875,262
88_64,5.7.18,3,11,N,QrQi,0.5,2,N,10.5,10.5,17,0,130,207.75,252
105_78,6.7.18,3,16,N,QrQpBp,0.66,3,Y,5.939393939,6.181818182,5,44.7027027,30.5,57.125,155
109_77,6.7.18,3,16,N,QrQpBp,0.66,3,Y,6.764705882,6.852941176,6,48.63888889,29.625,59,144
107_73,6.7.18,3,16,N,QrQpBp,0.66,3,Y,9.297297297,9.432432432,3,35.70588235,21.875,57.125,116
107_76,6.7.18,3,16,N,QrQpBp,0.66,3,Y,4.2,5.05,22,29.25714286,44,194.125,203
115_25,4.7.18,3,17,N,QrQiBp,0.66,3,Y,6.425,6.875,6,14.82352941,27.25,27.5,230
114_23,4.7.18,3,17,N,QrQiBp,0.66,3,Y,8.157894737,8.421052632,5,3.307692308,35.375,106.25,238
116_27,4.7.18,3,17,N,QrQiBp,0.66,3,Y,16.28205128,16.61538462,13,2.571428571,55.625,71.5,237
117_23,4.7.18,3,17,N,QrQiBp,0.66,3,Y,6.375,7.575,12,13.35,48.75,116.25,194
92_26,4.7.18,3,22,N,QrQpQi,0.66,3,N,6.1,6.55,4,0,30.75,12.66666667,159
93_22,4.7.18,3,22,N,QrQpQi,0.66,3,N,4.825,6.225,15,0,42.875,110.625,212
98_23,4.7.18,3,22,N,QrQpQi,0.66,3,N,34.125,34.875,5,38.8974359,14.25,25.875,110
92_29,4.7.18,3,22,N,QrQpQi,0.66,3,N,8.552631579,9.342105263,8,0,23.625,53,170
94_77,6.7.18,3,26,N,QrQpQiBp,0.75,4,Y,9.735294118,11.82352941,10,35.21621622,24.125,85.375,263
96_78,6.7.18,3,26,N,QrQpQiBp,0.75,4,Y,1.384615385,1.692307692,4,3.864864865,44.875,68.875,195
99_74,6.7.18,3,26,N,QrQpQiBp,0.75,4,Y,13.60526316,14.84210526,16,8.142857143,56.75,119.25,233
98_77,6.7.18,3,26,N,QrQpQiBp,0.75,4,Y,5.361111111,5.444444444,6,34.2,62,165.625,258
125_46,6.7.18,4,2,Y,Qr,0,1,N,15.82857143,18.05714286,10,10.62857143,14.5,27,160
127_46,6.7.18,4,2,Y,Qr,0,1,N,7.7,8.825,21,9.35,52,106.875,286
124_45,6.7.18,4,2,Y,Qr,0,1,N,11.64864865,13.08108108,9,30.35,24.375,30.375,220
124_46,6.7.18,4,2,Y,Qr,0,1,N,24.06060606,24.06060606,9,30.97222222,11.5,17.125,145
147_14,9.7.18,4,6,Y,QrBp,0.5,2,Y,20.28947368,20.76315789,17,16.61538462,31.875,65.75,187
147_18,9.7.18,4,6,Y,QrBp,0.5,2,Y,15.97222222,16.05555556,9,18.18421053,33.25,79,138
142_17,9.7.18,4,6,Y,QrBp,0.5,2,Y,14.13157895,14.89473684,9,15.09090909,38.625,76.875,237
144_17,9.7.18,4,6,Y,QrBp,0.5,2,Y,10.69444444,10.86111111,6,10.17948718,61.625,104.25,365
127_37,6.7.18,4,10,Y,QrQp,0.5,2,N,3.975,4.325,6,14.30769231,32.625,61.875,229
126_38,6.7.18,4,10,Y,QrQp,0.5,2,N,11.275,12.475,7,4.5,75.625,121.375,242
124_36,6.7.18,4,10,Y,QrQp,0.5,2,N,12.175,12.25,4,13.07894737,33.875,106.75,227
125_37,6.7.18,4,10,Y,QrQp,0.5,2,N,8.65,9.375,12,5.5,55.25,131,400
146_58,9.7.18,4,11,Y,QrQi,0.5,2,N,4.8,5.45,8,37.62162162,62.875,145.5,250
143_55,9.7.18,4,11,Y,QrQi,0.5,2,N,11.48717949,11.74358974,9,17.5,43.125,79.875,207
144_54,9.7.18,4,11,Y,QrQi,0.5,2,N,17.43243243,20.02702703,6,14.86486486,12,97.25,266
146_54,9.7.18,4,11,Y,QrQi,0.5,2,N,7.5,7.775,6,21.625,54,149.25,400
129_57,6.7.18,4,16,Y,QrQpBp,0.66,3,Y,9.95,10.925,13,9.388888889,155.25,166.625,554
127_56,6.7.18,4,16,Y,QrQpBp,0.66,3,Y,8.775,9.425,8,15.69230769,37.375,63,245
124_56,6.7.18,4,16,Y,QrQpBp,0.66,3,Y,7.975,9.25,16,5.27027027,55.5,217.375,392
126_54,6.7.18,4,16,Y,QrQpBp,0.66,3,Y,6.2,7.15,6,9.675,60.5,93.875,619
127_3,10.7.18,4,17,Y,QrQiBp,0.66,3,Y,12.91666667,13.13888889,5,32.275,12.125,61,172
125_8,10.7.18,4,17,Y,QrQiBp,0.66,3,Y,7.375,8.825,8,4.307692308,68,74.25,278
123_4,10.7.18,4,17,Y,QrQiBp,0.66,3,Y,7.282051282,7.666666667,13,3.837837838,30,58.125,280
128_8,10.7.18,4,17,Y,QrQiBp,0.66,3,Y,17.88461538,18.65384615,16,8.666666667,16,32.875,268
125_26,9.7.18,4,22,Y,QrQpQi,0.66,3,N,12.725,12.725,5,4.2,19.75,17.125,145
124_27,9.7.18,4,22,Y,QrQpQi,0.66,3,N,11.61764706,11.61764706,0,2.942857143,13.5,19.125,65
128_29,9.7.18,4,22,Y,QrQpQi,0.66,3,N,1.666666667,3.282051282,2,2.294117647,16.375,33,140
126_28,9.7.18,4,22,Y,QrQpQi,0.66,3,N,6.85,6.925,4,13.325,22.375,20.25,225
139_45,9.7.18,4,26,Y,QrQpQiBp,0.75,4,Y,8.725,10.6,11,17.15384615,121,175.5,330
136_46,9.7.18,4,26,Y,QrQpQiBp,0.75,4,Y,6.702702703,7.054054054,6,31.125,19.375,151.375,273
136_48,9.7.18,4,26,Y,QrQpQiBp,0.75,4,Y,7.615384615,8.025641026,11,16.18918919,75.625,197.125,332
138_47,9.7.18,4,26,Y,QrQpQiBp,0.75,4,Y,9.65,10.025,3,7.848484848,46.375,106.875,270
186_14,10.7.18,5,2,Y,Qr,0,1,N,4.297297297,4.918918919,4,6.842105263,110.25,159.125,420
184_16,10.7.18,5,2,Y,Qr,0,1,N,7.135135135,8.972972973,16,8.45,177.875,236.625,295
188_15,10.7.18,5,2,Y,Qr,0,1,N,8.5,10,17,10.51351351,42.125,166,214
187_17,10.7.18,5,2,Y,Qr,0,1,N,24.58974359,24.58974359,3,14.58823529,79.75,139.375,139
165_68,11.7.18,5,6,Y,QrBp,0.5,2,Y,8.27027027,8.351351351,4,28.625,50.75,89,218
169_66,13.7.18,5,6,Y,QrBp,0.5,2,Y,9.257142857,9.857142857,4,37.94285714,68.375,72.14285714,189
165_66,11.7.18,5,6,Y,QrBp,0.5,2,Y,8.171428571,9.171428571,16,28.16216216,30,41,175
164_65,11.7.18,5,6,Y,QrBp,0.5,2,Y,3.939393939,3.939393939,0,47.43243243,38.375,109.375,178
174_6,10.7.18,5,10,Y,QrQp,0.5,2,N,5.15,6.55,19,24.525,47.75,134.125,345
176_6,10.7.18,5,10,Y,QrQp,0.5,2,N,7.4,7.55,7,23.67567568,86.375,137.375,315
177_5,10.7.18,5,10,Y,QrQp,0.5,2,N,2.789473684,4.605263158,6,17.275,46.75,60.375,270
177_7,10.7.18,5,10,Y,QrQp,0.5,2,N,2.325,2.475,3,21.375,75.25,177,323
169_25,11.7.18,5,11,Y,QrQi,0.5,2,N,23.23076923,23.94871795,9,22.05405405,51,51.875,119
168_28,11.7.18,5,11,Y,QrQi,0.5,2,N,7.85,9.1,21,6.475,92.25,140.25,316
170_24,11.7.18,5,11,Y,QrQi,0.5,2,N,15.1,16.5,31,10.02702703,117.375,139.75,225
170_22,11.7.18,5,11,Y,QrQi,0.5,2,N,4.475,5.8,26,9.526315789,49.75,97.125,176
174_38,11.7.18,5,17,Y,QrQiBp,0.66,3,Y,29.42857143,31.21428571,7,10.275,16,32.5,253
176_39,11.7.18,5,17,Y,QrQiBp,0.66,3,Y,17,17.08333333,13,40.5,23.875,71.5,202
174_35,11.7.18,5,17,Y,QrQiBp,0.66,3,Y,20.56410256,20.56410256,11,14.6,45.25,129.75,198
178_37,11.7.18,5,17,Y,QrQiBp,0.66,3,Y,7.742857143,8.4,12,5.2,79.375,191.25,270
166_45,11.7.18,5,22,Y,QrQpQi,0.66,3,N,3.8,4.325,8,12.41176471,13.5,12.5,174
165_46,11.7.18,5,22,Y,QrQpQi,0.66,3,N,11.34210526,11.34210526,10,1.3,63.125,44.5,325
163_42,11.7.18,5,22,Y,QrQpQi,0.66,3,N,6.230769231,7.205128205,6,7.473684211,38.125,95.375,211
169_48,11.7.18,5,22,Y,QrQpQi,0.66,3,N,35,35.44117647,1,41.26315789,22.5,57.125,132
187_76,11.7.18,5,26,Y,QrQpQiBp,0.75,4,Y,26.05555556,26.05555556,0,14.5,4.875,95.875,247
185_75,11.7.18,5,26,Y,QrQpQiBp,0.75,4,Y,8.529411765,8.529411765,0,88,22.875,40,75
198_7,13.7.18,5,16,Y,QrQpBp,0.66,3,Y,7.448275862,7.448275862,0,23,45.75,48,172
196_3,13.7.18,5,16,Y,QrQpBp,0.66,3,Y,6.871794872,8.025641026,16,7.222222222,47.875,112,140
199_3,13.7.18,5,16,Y,QrQpBp,0.66,3,Y,16,16.5,15,23.875,30.125,93.625,192
194_5,13.7.18,5,16,Y,QrQpBp,0.66,3,Y,8.512820513,10.33333333,18,0,22.25,NA,124
232_36,12.7.18,6,2,N,Qr,0,1,N,13.575,13.9,17,12.825,22.25,42.125,141
232_34,12.7.18,6,2,N,Qr,0,1,N,28.32258065,28.32258065,2,5.105263158,11,25.625,110
233_33,12.7.18,6,2,N,Qr,0,1,N,27,27,2,75.8,12.75,77.875,165
237_38,12.7.18,6,2,N,Qr,0,1,N,11.3,14.5,2,60.71794872,68,154.75,130
213_3,13.7.18,6,10,N,QrQp,0.5,2,N,20.30769231,20.94871795,12,4.225,35.125,104.125,251
214_6,13.7.18,6,10,N,QrQp,0.5,2,N,13.65,14.15,14,6.5,45.5,64.25,208
217_5,13.7.18,6,10,N,QrQp,0.5,2,N,20.35135135,20.89189189,7,23.53846154,24.75,62.75,187
216_6,13.7.18,6,10,N,QrQp,0.5,2,N,24.38461538,26.30769231,15,8.1,49.125,155.625,359
216_63,12.7.18,6,6,N,QrBp,0.5,2,Y,34.48648649,34.48648649,3,77.62068966,11.625,54.33333333,240
215_64,12.7.18,6,6,N,QrBp,0.5,2,Y,32.84375,32.84375,6,31.11764706,41.25,144.25,396
215_62,12.7.18,6,6,N,QrBp,0.5,2,Y,29.94444444,29.94444444,5,43.125,87.25,89,410
217_64,12.7.18,6,6,N,QrBp,0.5,2,Y,16.23076923,16.30769231,7,23.82352941,19.375,50,115
224_56,12.7.18,6,11,N,QrQi,0.5,2,N,13.65,13.85,3,51.47368421,48.75,149.125,221
225_53,12.7.18,6,11,N,QrQi,0.5,2,N,9.375,9.975,13,9.4,52.25,96.125,189
222_52,12.7.18,6,11,N,QrQi,0.5,2,N,12.7027027,12.97297297,7,79.875,20.125,82.625,239
222_56,12.7.18,6,11,N,QrQi,0.5,2,N,11.975,11.975,12,9.9,57.625,135.125,275
216_59,12.7.18,6,16,N,QrQpBp,0.66,3,Y,26.08823529,26.52941176,2,4.175,73.25,131.875,334
216_56,12.7.18,6,16,N,QrQpBp,0.66,3,Y,18.40540541,20.61111111,8,11.96875,10.125,23.125,117
219_59,12.7.18,6,16,N,QrQpBp,0.66,3,Y,28.05263158,28.78947368,9,34.83333333,66.625,151.4,397
217_58,12.7.18,6,16,N,QrQpBp,0.66,3,Y,27.625,27.625,3,15.30769231,48.25,113,327
224_42,12.7.18,6,17,N,QrQiBp,0.66,3,Y,31.61764706,34.14705882,15,15.84210526,44.625,58,113
226_46,12.7.18,6,17,N,QrQiBp,0.66,3,Y,12.64516129,14.25806452,4,35.70833333,10.375,20.8,108
226_49,12.7.18,6,17,N,QrQiBp,0.66,3,Y,15.28,19.48,13,48.75,27.375,46.125,89
223_43,12.7.18,6,17,N,QrQiBp,0.66,3,Y,36,36,6,1.756756757,52.875,138,148
232_49,12.7.18,6,22,N,QrQpQi,0.66,3,N,28.47222222,28.61111111,7,17.75,39.375,137.75,343
235_49,12.7.18,6,22,N,QrQpQi,0.66,3,N,11.27777778,11.36111111,7,7.307692308,17.625,101.25,208
233_48,12.7.18,6,22,N,QrQpQi,0.66,3,N,20.07692308,20.53846154,10,12.575,68.75,156.75,171
234_50,12.7.18,6,22,N,QrQpQi,0.66,3,N,5.861111111,6.416666667,3,45.25641026,43.125,127.5,192
224_72,12.7.18,6,26,N,QrQpQiBp,0.75,4,Y,18.575,18.575,9,0,39.375,NA,337
226_71,12.7.18,6,26,N,QrQpQiBp,0.75,4,Y,15.26315789,15.97368421,16,28.44736842,19.375,64.125,154
223_76,12.7.18,6,26,N,QrQpQiBp,0.75,4,Y,14.36,14.36,3,0.974358974,13.625,29.25,114
222_71,12.7.18,6,26,N,QrQpQiBp,0.75,4,Y,45.25,45.25,0,3.685714286,42.625,40,128
